Timestamp (s),Motor ID,CAN ID,Target RPM,Raw Frame (Hex)
21.727,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
21.772,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
21.804,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
21.819,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
21.835,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
21.858,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
21.873,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
21.915,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
21.940,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
21.971,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
21.987,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
22.003,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
22.050,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
22.067,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
22.098,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
22.128,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
22.159,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
22.175,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
22.207,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
22.237,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
22.269,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
22.284,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
22.300,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
